id,Month,Day,Year,Hour,Minute,Second
51679944,December,11,2012,20,29,26
48842011,August,9,2011,20,11,11
93812474,January,23,2013,20,10,00
53175832,May,24,2012,19,20,45
6275353,June,3,2011,12,35,28
833011,January,12,2012,23,50,29
65407959,January,3,2013,20,05,09
6364832,June,19,2012,16,02,55
38026312,April,1,2013,20,52,58
23835022,May,21,2013,15,16,33
10540473,July,18,2013,06,48,32
68495162,October,5,2011,20,11,41
47367935,October,23,2013,10,12,05
65623959,June,10,2011,17,18,18
15098306,February,1,2008,21,25,39
87981039,November,11,2013,14,47,00
15101592,April,30,2012,20,38,06
40742410,May,1,2013,17,09,33
90337168,September,25,2013,15,45,37
39531412,April,29,2012,22,01,00
17484912,December,10,2010,17,30,24
36936208,April,25,2013,06,54,20
47417185,August,26,2013,14,49,27
63707034,June,21,2012,04,08,24
49681743,October,24,2013,08,52,20
6838147,February,8,2012,22,00,35
53749785,February,27,2013,19,08,19
97222025,June,10,2013,20,26,58
56032727,August,27,2013,16,13,32
17482128,June,30,2011,04,01,00
67395329,February,14,2011,18,33,35
25820300,August,21,2013,22,19,14
21533232,April,26,2011,06,10,47
65093677,May,18,2011,20,25,10
27578753,October,9,2012,02,44,37
32563682,July,30,2012,06,21,29
87762308,October,29,2010,16,20,15
5402106,May,30,2011,01,40,22
77538127,October,13,2010,22,20,13
34284180,June,26,2012,20,53,08
10512581,June,14,2011,11,01,01
11426088,September,9,2011,15,50,54
18763985,September,20,2013,04,01,00
37265000,November,27,2012,22,16,25
97927998,November,8,2013,22,30,52
58591660,September,4,2013,12,32,50
51793679,December,13,2011,22,26,49
24340237,July,13,2012,11,00,01
1071356,October,11,2012,02,05,04
15104996,June,3,2011,21,33,47
57051796,May,16,2013,04,01,00
93388398,January,10,2013,05,01,01
25910992,September,10,2012,23,59,58
79939972,July,24,2010,04,01,00
80892819,July,31,2012,20,14,59
78774861,June,28,2012,16,36,27
17938082,October,23,2011,15,01,18
57042828,June,17,2013,10,00,00
38680261,June,17,2013,23,33,52
74794046,February,4,2013,17,00,00
51295866,January,27,2012,00,04,10
79686275,July,8,2010,20,09,45
6294919,April,23,2012,20,15,45
75876139,August,17,2012,07,57,55
65377802,March,5,2012,12,24,30
43962376,May,31,2013,21,27,58
41834978,July,16,2012,20,52,47
76668127,September,13,2013,16,18,10
33245309,February,22,2012,23,54,14
67524054,March,23,2011,04,01,01
60550106,October,5,2012,04,38,25
14160555,May,24,2011,20,33,28
19397393,May,12,2011,22,38,57
62494895,January,17,2013,17,13,04
9436287,April,18,2011,17,29,12
4147269,July,1,2010,23,04,06
41725301,October,17,2012,01,58,36
44523121,February,20,2013,08,51,37
50016474,June,26,2010,12,00,00
39972653,July,25,2012,04,01,00
45299900,June,26,2012,12,06,51
99030491,February,14,2011,13,43,16
37918423,April,12,2012,14,50,11
77351728,January,6,2013,22,00,01
40638793,July,12,2012,14,57,30
85579214,November,19,2013,22,08,34
56549065,September,18,2012,21,07,39
18287619,July,13,2012,18,49,02
18886295,July,20,2012,12,06,20
68353280,August,15,2012,12,57,45
29568613,February,13,2013,22,29,35
11043451,November,7,2013,05,01,00
35100561,June,1,2012,12,13,24
83434651,October,14,2011,04,01,01
72537275,April,3,2013,04,01,00
60956956,June,18,2010,09,21,42
87253506,March,17,2011,07,52,40
32443242,January,10,2012,00,10,48
81598847,May,31,2012,04,01,00
46970759,April,19,2012,17,03,12
29891661,November,1,2012,22,00,00
40353877,June,14,2012,16,34,50
11215487,June,19,2012,21,17,17
5222813,October,22,2013,16,55,10
649223,November,30,2011,21,00,00
89924837,May,9,2013,20,30,01
61276301,December,12,2011,13,24,21
47313090,May,14,2012,18,03,24
97593144,November,8,2013,21,36,40
84931056,July,19,2013,16,15,03
95845193,August,21,2013,10,51,50
68448641,February,4,2013,12,01,01
92267079,January,11,2013,05,01,00
72982966,October,5,2011,11,52,25
76346812,September,3,2013,04,01,00
99199081,June,29,2010,11,01,06
13756494,November,4,2010,21,30,48
35316853,October,28,2010,20,00,00
49469968,September,28,2011,20,14,12
19338641,June,15,2011,16,00,00
97013425,April,21,2011,20,13,08
51372728,September,21,2011,15,51,38
88629932,August,28,2012,09,41,55
98455309,October,19,2011,20,00,00
43873444,October,23,2013,20,43,52
57546555,June,12,2013,00,57,27
28368251,December,14,2010,10,54,00
64256117,July,1,2011,20,15,21
29353550,July,26,2013,20,52,57
14003064,September,4,2013,08,38,36
65985926,November,13,2012,22,38,15
75566375,February,8,2011,21,10,44
58767726,May,8,2013,20,00,00
76913476,May,7,2013,20,14,31
94679063,July,19,2013,20,06,54
55698834,December,17,2010,00,01,59
56604469,November,1,2010,20,33,40
61719738,September,26,2011,11,47,23
85664967,October,30,2013,17,32,21
77385700,April,5,2011,22,05,45
34644345,June,7,2013,23,41,55
76835450,April,4,2012,03,01,52
13959604,September,9,2011,20,47,15
75887715,February,15,2011,05,00,01
67301938,March,5,2012,13,27,47
43160581,July,12,2012,23,18,18
45394119,February,20,2008,13,24,27
98137120,November,15,2013,21,20,35
29584965,December,21,2010,22,41,29
40871938,December,31,2012,05,00,01
11684250,November,15,2013,16,42,50
30210154,August,9,2011,09,28,39
70013452,August,28,2012,11,01,01
1519455,September,24,2013,11,03,42
45909419,November,18,2013,08,35,02
57923828,February,3,2011,19,01,50
86948001,August,8,2013,20,46,02
70828506,November,17,2010,19,17,40
25427946,April,27,2010,20,10,55
29697459,April,29,2013,19,13,23
90560532,April,30,2013,10,58,14
53073751,August,18,2012,04,01,00
21306038,July,29,2013,08,38,55
63323516,October,9,2013,04,01,00
70697409,April,8,2011,10,30,45
19308099,May,18,2011,22,00,56
68999646,April,20,2011,00,12,49
30283672,August,6,2013,00,00,00
52737155,April,18,2013,15,59,28
40128976,November,22,2010,04,00,06
96861612,January,19,2013,16,46,38
4132749,June,2,2011,04,01,20
72488378,June,7,2013,04,01,00
43068782,June,26,2013,20,00,00
78660812,November,8,2012,15,23,21
12732302,August,7,2012,04,00,00
70506987,March,15,2013,11,00,01
71431788,November,14,2012,21,03,10
8142496,May,12,2011,04,00,01
23195672,June,11,2011,06,08,52
52115252,April,10,2012,04,00,01
49720070,July,19,2010,20,14,43
31171855,July,15,2010,08,25,21
5639423,July,31,2013,16,42,16
93423095,September,30,2010,07,55,53
97452865,June,4,2011,09,32,37
73320033,October,11,2013,12,24,56
81709922,June,26,2013,15,01,20
99755594,May,5,2011,04,01,01
92122558,January,23,2013,22,12,57
28362548,June,7,2012,18,04,36
77575932,March,16,2012,09,44,38
63578749,November,5,2013,03,18,02
42230335,August,24,2011,08,12,34
64716949,April,26,2011,12,01,36
69962342,February,4,2013,12,32,10
2601547,October,21,2011,04,41,50
24637348,December,23,2011,05,08,10
66809361,January,25,2013,21,05,02
80474636,February,2,2012,18,17,26
9225235,September,18,2012,16,45,10
56060845,September,7,2012,20,11,50
53758784,September,10,2012,08,48,05
58853497,February,7,2013,05,00,01
15808959,October,20,2010,18,23,49
68502606,March,5,2013,22,11,32
53259685,June,23,2010,01,00,00
23015293,February,27,2012,07,30,00
72218526,August,30,2011,17,16,29
91897597,June,16,2011,10,43,02
67922739,August,3,2011,20,21,28
45424466,July,29,2013,14,09,58
18823191,September,9,2011,20,14,19
26618708,March,6,2013,17,03,57
72641391,May,23,2011,23,00,01
67824697,January,17,2012,21,22,34
53282513,March,14,2013,18,14,56
68384801,June,14,2011,02,54,58
42375121,March,19,2012,21,54,36
75601075,October,7,2011,20,37,42
70802487,August,15,2011,21,16,18
64180996,October,4,2010,20,20,46
88356242,June,25,2013,10,43,21
15049918,October,18,2011,11,01,01
98452308,September,10,2013,15,00,51
60482668,March,12,2013,15,25,44
38464054,February,27,2012,11,08,24
3251495,January,11,2012,21,17,00
85843355,February,23,2012,19,37,20
4774451,October,25,2013,20,26,19
54421059,May,17,2011,20,10,33
16945840,August,13,2013,04,00,01
40628879,March,16,2012,20,43,31
35468600,October,23,2012,16,03,16
83358353,October,22,2012,10,39,59
36765858,June,30,2012,04,01,01
57461852,December,26,2012,21,36,18
17595103,September,5,2012,15,44,00
98136218,March,4,2013,14,49,59
50215338,June,19,2012,20,33,29
83182183,February,7,2011,05,00,01
26608429,August,13,2013,10,11,18
20593294,July,10,2010,07,45,12
77527046,March,30,2012,22,37,04
42860653,January,15,2013,21,33,34
37604268,September,19,2012,15,45,05
17657804,October,22,2011,18,45,02
37407711,July,19,2013,00,00,00
79897602,October,17,2013,08,37,42
65669356,January,25,2012,21,31,42
48844772,July,8,2013,04,01,00
78375261,October,5,2011,22,50,11
31151505,October,19,2012,16,15,37
38640183,February,29,2012,09,30,32
62529701,January,25,2013,22,04,44
83188998,July,21,2010,15,46,44
85999870,May,12,2011,14,52,13
52958020,June,15,2012,22,21,42
19788020,March,13,2012,20,50,17
77966373,October,3,2012,08,00,13
71203147,March,16,2011,18,55,09
53471478,November,8,2013,14,29,04
30136979,June,5,2013,22,00,06
72836224,April,12,2012,10,39,45
43351164,August,13,2013,15,00,53
67237617,August,30,2012,11,27,44
96122062,October,9,2013,17,58,16
1556080,November,2,2010,17,33,08
74132509,July,12,2011,14,41,35
91837130,January,28,2013,21,27,05
78046973,August,23,2011,11,01,01
55470784,March,22,2011,11,01,35
55473911,December,27,2012,22,15,34
72510089,October,4,2011,13,39,46
90786403,November,8,2012,23,01,00
19847625,September,13,2013,14,40,57
98112972,April,12,2011,10,15,49
13533671,September,19,2013,22,04,24
52171110,September,20,2012,21,46,27
44980471,September,20,2011,18,52,18
89858580,February,14,2012,22,37,43
54260466,October,12,2010,21,00,00
63737964,January,23,2012,21,51,44
42678851,June,27,2011,20,34,59
9494210,December,11,2011,17,00,00
60520398,December,20,2011,05,01,00
2357695,November,23,2010,18,12,30
98932221,August,22,2013,21,00,12
55268294,May,4,2011,11,38,02
33979310,July,29,2010,21,05,46
88210575,January,31,2013,14,54,37
40981513,January,8,2013,23,30,09
41928532,June,22,2012,22,14,09
26631492,November,10,2010,12,01,01
85614030,September,10,2013,11,24,03
38485140,September,30,2013,12,53,40
3132205,April,9,2013,19,45,49
39685742,April,8,2013,20,05,29
58924910,October,3,2013,20,58,22
40691510,November,16,2010,19,09,58
83630183,August,14,2012,14,01,52
31335029,June,16,2010,18,41,56
36219772,October,10,2013,04,01,00
83949386,August,3,2011,10,02,57
73719379,May,3,2013,04,00,01
56124835,November,1,2013,17,00,00
11641134,September,10,2013,13,35,24
32942794,April,11,2013,15,46,23
97412997,August,29,2013,11,00,00
318143,September,24,2010,18,16,24
74820425,December,22,2010,17,07,53
80597568,April,9,2012,20,09,36
76815584,October,14,2010,20,00,00
12428101,October,14,2010,00,12,47
1055905,June,15,2011,20,00,00
26600284,October,1,2010,04,00,01
35144629,October,5,2010,08,33,13
70247495,March,21,2011,18,10,44
1799817,November,6,2012,21,28,37
4682130,November,29,2011,22,04,29
4568213,April,8,2011,23,56,57
93648283,April,2,2013,13,42,36
80349871,October,14,2011,23,34,31
31958642,July,10,2012,04,00,01
41725756,September,18,2012,20,04,53
68881811,December,7,2011,15,47,30
4086652,March,9,2011,18,02,14
26364278,January,14,2013,18,26,02
32021870,August,19,2011,20,27,35
2361407,June,21,2013,20,11,45
86048109,July,9,2012,12,13,14
32778480,October,16,2012,12,04,06
25231407,October,31,2010,23,30,25
86763312,November,18,2013,00,18,31
64325277,December,14,2010,18,07,26
21521561,April,27,2013,04,00,01
82126119,June,15,2011,17,20,44
18570983,January,25,2012,13,29,10
21734059,April,22,2013,19,22,06
7171942,February,7,2013,22,08,30
35377872,February,20,2013,21,09,35
43499299,January,19,2012,22,54,53
77801629,September,25,2012,04,01,00
27902134,January,31,2013,16,26,44
19249413,July,6,2011,20,31,56
23995845,April,16,2013,20,09,03
4117655,July,14,2010,09,34,17
52020729,October,23,2012,21,40,06
21526909,August,2,2012,04,01,01
29422083,October,12,2011,23,29,51
47397193,September,8,2011,20,30,51
33569326,August,24,2012,14,14,39
46512973,February,8,2012,20,59,42
55329411,November,28,2010,05,01,00
22403789,February,1,2013,17,44,52
68459567,October,15,2013,04,01,00
29394347,June,26,2013,13,36,51
78959790,December,6,2011,00,01,43
82492557,February,14,2011,23,10,10
60465318,January,7,2012,05,00,01
87463358,September,18,2013,20,24,58
75698812,January,5,2013,15,59,35
28151031,February,1,2013,17,41,46
58892491,September,4,2012,20,29,07
29143661,March,19,2013,11,59,32
78324891,February,26,2010,02,01,30
54706315,March,19,2012,22,32,21
32057170,April,14,2011,01,00,00
38992904,April,26,2011,03,23,53
63007118,April,13,2012,09,58,24
52874160,September,16,2013,21,26,11
64615166,July,18,2013,18,35,09
25944335,March,4,2010,21,00,00
42270572,July,31,2012,23,27,22
43347712,June,4,2012,04,01,00
19303017,August,15,2012,04,26,50
37746399,August,14,2013,13,44,01
47491351,October,22,2013,14,26,16
99074428,November,30,2011,13,03,21
90309819,May,26,2011,22,08,11
32882882,July,19,2010,21,15,42
26006590,June,28,2011,04,01,00
71121027,April,22,2012,23,29,44
86287738,June,15,2010,10,07,24
2953361,May,10,2013,04,00,01
85219463,February,25,2011,23,34,56
76582652,March,11,2011,05,00,24
49608024,August,12,2013,21,17,31
10371836,November,19,2013,05,01,00
7041835,December,18,2012,03,48,33
62476381,December,21,2011,21,23,41
7092713,March,14,2013,04,01,01
71919020,September,3,2013,19,53,46
20328282,August,22,2013,20,28,27
86968444,June,27,2012,20,18,08
92096666,January,16,2012,16,59,58
15587311,October,20,2011,17,25,04
54433631,September,29,2010,04,01,00
20242899,April,5,2013,15,23,36
21190419,September,7,2012,20,18,00
65555450,April,22,2011,00,19,59
93532285,February,21,2011,08,25,34
79534147,April,20,2012,23,00,01
54008255,July,8,2011,08,58,38
55504972,January,20,2012,21,44,27
53094992,November,2,2010,20,35,00
64795192,January,23,2012,23,00,01
98142778,January,31,2012,16,04,49
63294788,July,10,2012,21,48,36
47713457,July,23,2012,16,49,14
74793140,March,17,2012,04,00,01
7838482,October,19,2011,20,50,55
29813361,November,19,2013,22,11,32
27783259,September,26,2011,21,46,56
77047689,May,17,2012,20,33,36
12207800,July,13,2011,16,01,00
74336385,June,7,2013,08,31,00
44349224,September,28,2010,09,51,11
30096815,October,26,2012,04,01,00
94655749,November,3,2010,10,33,15
16509062,January,25,2012,15,22,01
15850164,May,11,2011,20,54,50
12168460,July,16,2010,20,21,31
32027929,April,6,2012,00,11,54
44975757,May,15,2012,16,30,00
23916469,March,14,2012,21,15,49
94023385,August,10,2011,21,28,24
21216132,October,22,2012,13,52,37
65588188,April,26,2011,09,59,10
84882271,June,10,2013,11,01,01
59632374,February,16,2012,13,20,56
43537920,April,8,2011,16,08,12
26809834,August,15,2013,04,01,00
8067935,September,14,2012,20,23,21
44382928,December,6,2011,21,06,34
45558577,June,5,2013,07,30,00
35954015,June,20,2013,20,30,18
35285545,July,12,2010,20,13,48
31381827,June,29,2011,04,00,00
54040501,October,5,2011,20,00,00
43355065,October,2,2013,02,15,51
34140221,August,9,2012,04,01,00
26483032,July,26,2013,12,04,32
59583418,February,19,2013,05,01,00
16556576,July,19,2012,13,59,23
12085749,May,3,2013,16,20,42
16575724,October,18,2013,16,59,15
19972750,August,22,2013,15,00,56
82328809,April,27,2011,14,23,54
26481599,February,15,2012,10,46,19
73156364,July,6,2010,04,27,59
99305632,May,3,2012,11,01,01
66855900,August,31,2012,15,51,14
55148036,July,12,2012,20,30,33
45347321,February,6,2013,22,01,54
97493207,January,26,2007,22,20,21
28112289,December,20,2010,23,55,40
97903193,May,17,2013,03,18,59
59000243,April,23,2012,08,20,14
35536976,February,9,2012,22,07,05
24756118,April,9,2012,20,18,48
58062356,July,26,2013,04,00,01
74985014,September,22,2010,20,53,13
99748004,March,22,2011,12,28,53
30059034,March,7,2013,16,43,46
98200031,November,20,2013,23,00,00
89699160,October,11,2012,22,52,43
79099869,July,4,2011,09,44,11
66937119,June,26,2013,15,52,43
47705954,August,17,2012,09,16,43
70279796,June,5,2012,22,31,49
76367074,December,4,2012,05,01,00
97326710,February,16,2012,05,01,00
22797379,January,20,2012,22,09,37
23294703,October,5,2011,15,54,45
48993161,July,6,2010,21,21,15
26011151,May,24,2012,17,29,41
44925273,April,23,2010,20,35,07
4410068,July,1,2011,16,23,40
42564739,September,27,2010,08,53,47
65346803,May,9,2013,04,01,00
91152943,November,8,2012,16,11,48
44846812,April,12,2012,09,40,38
37885716,October,19,2010,20,31,54
55724448,December,18,2012,18,39,29
33262639,April,7,2011,09,26,24
23301720,February,23,2012,21,53,39
82198700,December,8,2012,17,01,24
27613461,August,20,2012,23,47,49
1767611,June,14,2012,12,10,35
51902012,May,30,2013,20,00,00
63413382,October,13,2010,20,07,13
16949078,October,31,2013,04,01,01
42755454,February,29,2012,22,00,00
8420092,April,26,2010,17,16,48
52148059,October,5,2011,21,27,57
73290927,July,16,2010,11,01,56
25502231,October,22,2010,16,21,29
38227678,January,31,2013,21,47,17
47470780,December,13,2011,20,36,12
45087940,June,10,2013,21,02,27
4714665,February,28,2012,05,00,01
97558492,September,13,2011,22,00,00
75724925,July,22,2010,22,22,32
65007379,February,3,2011,02,00,00
59253007,August,17,2011,23,01,28
36757236,March,21,2012,16,06,43
31076908,March,17,2011,16,10,07
16715059,December,12,2011,12,07,04
9462392,June,12,2012,00,24,07
71450547,September,3,2011,20,39,28
81350733,December,12,2012,14,44,25
48683269,April,15,2013,21,02,26
12443970,September,23,2011,18,21,41
15858856,February,15,2012,09,29,19
53381652,June,27,2012,18,56,58
26519688,July,25,2012,20,48,04
78786574,June,14,2011,06,26,21
61775447,August,21,2012,20,30,53
87090347,October,10,2012,15,00,00
81737936,May,13,2013,12,50,33
91654024,May,26,2011,21,00,01
36366745,September,2,2013,19,12,50
93726295,February,17,2012,13,13,39
65476501,June,18,2013,22,00,42
32141050,September,6,2012,04,01,00
56710958,August,19,2011,15,53,36
88263288,January,11,2012,21,06,26
50852001,October,25,2013,20,04,22
32380426,April,10,2012,20,36,01
58034976,April,16,2011,04,01,00
36542306,November,2,2012,12,01,42
92416592,June,8,2011,11,01,01
12812881,July,6,2010,01,00,00
80188954,January,18,2012,21,00,00
38918923,September,26,2013,17,34,16
72395851,November,19,2012,12,01,01
85233409,March,12,2013,04,00,07
13648791,July,23,2012,15,08,03
20970499,August,7,2012,19,48,39
19163849,February,21,2012,19,24,34
88917595,December,7,2012,05,01,01
3854541,November,13,2012,22,15,40
29706317,May,3,2013,17,30,52
87006624,March,21,2013,20,36,24
8234790,April,9,2013,13,17,59
5403378,November,14,2013,21,31,35
17658247,September,4,2012,10,17,45
19967907,November,9,2012,05,01,00
97717142,April,11,2013,13,57,19
9938162,June,14,2010,15,21,54
7096671,October,18,2012,22,04,05
2087671,September,23,2010,03,34,33
27527825,February,7,2011,14,11,36
98574828,November,15,2012,21,08,02
62623860,April,8,2011,04,19,50
44965516,July,21,2011,00,08,17
28588463,July,14,2010,16,00,00
73422658,October,28,2013,04,40,02
76678008,July,9,2010,10,13,19
78735430,April,20,2012,20,21,30
34096878,April,17,2013,14,40,03
4404941,January,8,2013,05,01,00
93057974,September,29,2011,11,01,01
96505376,July,16,2013,22,37,41
44510261,April,19,2011,03,47,57
46091849,November,5,2013,15,24,03
91439696,April,23,2010,20,34,37
85483003,November,14,2012,21,00,00
73752592,June,19,2013,20,06,01
64521954,August,5,2011,20,55,56
56119969,May,7,2013,16,24,52
94150527,September,29,2011,23,03,45
73173276,June,22,2011,20,00,00
72116361,May,15,2012,21,49,14
44862874,October,24,2013,06,45,26
20762728,September,11,2013,20,14,07
84116925,June,20,2011,14,46,42
86108242,October,2,2013,04,01,00
48242401,August,29,2013,21,33,45
63151868,February,29,2012,08,27,52
2526920,January,5,2013,05,01,01
68575735,October,1,2013,13,26,07
32438179,October,22,2012,19,48,15
34048510,June,15,2012,20,42,29
42045187,November,25,2013,05,01,00
76117173,June,5,2012,23,06,49
76386359,November,13,2012,12,00,01
42266123,December,13,2011,06,35,50
34795892,July,27,2011,20,00,00
8787401,October,25,2012,21,30,54
54186901,May,29,2013,04,01,00
24632784,May,22,2011,23,00,01
77635328,July,1,2013,14,00,00
42582645,November,4,2010,04,01,01
59308350,June,13,2013,18,50,04
39935034,April,2,2013,16,17,58
51698511,December,28,2010,00,00,00
69864921,October,18,2010,20,48,50
462825,March,8,2012,01,43,50
1059402,October,2,2013,22,00,00
9260726,May,16,2011,20,45,29
94165226,October,31,2012,09,24,36
65842821,March,18,2011,02,41,44
65222009,January,31,2012,20,00,20
98522642,October,5,2011,20,29,49
44324003,April,6,2011,04,00,17
94111317,July,14,2011,04,00,00
90843663,July,16,2013,20,17,26
76280220,November,3,2012,04,01,00
6248917,March,22,2011,04,01,00
64171595,September,19,2013,10,44,39
58285590,February,1,2012,17,19,26
85891422,March,20,2013,23,21,32
47964847,November,7,2012,10,28,53
33562633,June,17,2013,12,25,13
58964439,December,9,2010,19,53,50
55214836,July,20,2010,14,24,01
57726477,April,24,2012,16,34,37
5842445,October,13,2012,04,01,01
18755423,July,9,2012,11,00,01
3356122,April,5,2011,16,47,28
28129229,May,1,2013,22,49,49
51555389,April,24,2012,08,45,15
96606311,April,25,2013,04,52,40
41001511,March,19,2012,12,13,39
59068487,January,24,2013,22,12,47
41061456,February,13,2012,22,32,02
6099206,March,6,2012,17,13,28
57544326,October,5,2010,05,21,01
19112827,October,14,2011,17,01,50
81280308,September,22,2010,13,56,01
5340164,August,27,2013,20,24,19
5927519,October,19,2012,08,43,39
42016199,August,7,2013,11,01,01
4405281,July,8,2010,21,36,33
8644173,January,11,2013,08,55,19
55370328,July,24,2012,11,01,01
55209758,October,18,2011,16,07,12
521719,July,24,2013,14,53,32
19873890,June,26,2011,22,13,25
90724959,July,3,2012,13,13,12
93360180,March,8,2013,22,40,52
75025850,April,24,2012,23,00,01
9454426,May,11,2011,04,00,50
85125661,August,3,2012,22,00,04
80111088,January,20,2012,22,18,01
39755029,October,28,2010,04,00,00
85614644,September,19,2013,15,09,30
31225385,December,14,2010,22,42,17
72339254,August,22,2011,18,47,57
52434852,April,24,2012,19,18,26
45075230,July,7,2010,14,11,21
29583895,July,16,2010,17,52,42
27626995,July,12,2010,20,22,08
6933341,October,8,2010,00,16,14
18330074,October,1,2011,04,00,01
90307803,April,23,2010,06,56,02
79616833,July,5,2011,04,00,00
74668883,June,15,2011,11,39,27
31897834,October,8,2010,04,00,01
28682174,July,16,2012,04,01,01
84795668,May,11,2011,04,01,01
57985980,January,24,2012,23,00,00
17451643,March,18,2013,22,30,14
45286324,June,17,2010,04,00,01
30154143,October,21,2010,15,08,23
56773730,March,25,2012,12,56,19
32428275,December,19,2011,05,01,01
56921639,July,23,2013,16,01,00
3423013,September,17,2013,20,18,57
25608714,September,20,2010,21,44,54
35443532,September,8,2011,20,30,57
27123961,November,13,2013,21,00,00
15724307,May,23,2013,23,00,00
95482534,May,29,2013,04,00,01
81887428,November,18,2013,05,01,00
48955004,June,1,2011,06,59,50
89600895,May,27,2011,04,07,42
77095147,January,13,2012,21,54,43
92844096,September,27,2011,18,21,42
62106460,June,15,2010,21,01,41
57123504,July,5,2012,16,43,38
89486331,June,4,2013,20,08,40
12637021,October,4,2011,13,50,28
96522307,October,25,2012,04,01,01
33960892,June,10,2012,23,01,03
25331538,April,10,2012,01,11,07
34459490,April,24,2013,07,51,52
16424087,July,5,2011,11,00,01
35621742,January,31,2013,21,12,52
91903144,June,6,2011,13,42,56
35327742,October,4,2010,10,34,59
57583046,June,7,2013,01,46,17
20860135,October,29,2013,16,40,36
25830685,October,1,2012,21,01,19
25432374,October,4,2012,20,26,41
4563066,September,30,2011,21,28,27
37779158,January,12,2013,01,01,29
92406901,July,11,2013,20,30,12
37945701,September,10,2013,08,38,47
1225617,March,14,2011,16,58,16
52099511,July,20,2011,20,49,57
6129991,September,12,2011,11,01,52
84603937,August,30,2013,04,01,01
76406349,July,17,2012,02,12,57
68869220,March,23,2013,04,00,01
99782790,May,14,2013,04,00,01
68850755,June,3,2011,14,38,28
24022078,November,9,2012,05,01,00
646946,November,2,2012,13,53,46
52900117,June,14,2010,04,01,00
9814895,June,27,2011,15,32,23
13250203,February,29,2012,21,07,59
40018706,August,22,2013,20,08,44
85039269,March,22,2012,00,01,00
32555923,March,15,2012,21,08,51
86052325,December,13,2011,00,38,24
99209703,June,10,2013,04,01,00
27920603,June,2,2011,20,06,16
12411047,October,3,2011,15,01,41
1791430,October,31,2013,12,25,55
52813182,September,14,2011,22,56,55
83263957,April,22,2011,04,05,51
85234170,July,15,2010,23,55,42
32017873,September,19,2011,12,00,20
97948803,October,19,2011,07,44,26
73266498,July,14,2011,14,59,24
67249617,May,15,2012,04,00,01
11915105,October,2,2010,09,36,12
92591869,June,5,2013,20,49,31
